 observation,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
eChild #189,0,0,0,2,0,0,0,23,0,0,3,26,0
eChild #190,0,0,0,2,0,0,0,21,0,0,2,35,0
eChild #191,0,0,0,1,0,0,0,13,0,0,13,17,0
eChild #192,0,0,0,0,0,0,0,23,0,0,3,1,0
eChild #193,0,0,0,0,0,0,0,18,0,0,2,6,0
eChild #194,0,0,0,0,0,0,0,2,0,0,2,6,0
eChild #195,0,0,0,0,0,0,0,9,0,0,0,14,0
eChild #196,0,0,0,0,0,0,0,2,0,0,30,22,0
eChild #197,0,0,0,2,0,0,0,6,0,0,2,13,0
eChild #198,0,0,0,1,0,0,0,1,0,0,2,1,0
eChild #199,0,0,0,0,0,0,0,18,0,0,6,0,0
eChild #200,0,0,0,0,0,0,0,11,0,0,0,3,0
eChild #201,0,0,0,1,0,0,0,31,0,0,5,8,0
eChild #202,0,0,0,2,0,0,0,16,0,0,7,8,0
eChild #203,0,0,0,1,0,0,0,31,0,0,3,11,0
eChild #204,0,0,0,3,0,0,0,2,0,0,20,9,0
eChild #205,0,0,0,0,0,0,0,13,0,0,12,19,0
eChild #206,0,0,0,0,0,0,0,1,0,0,1,52,0
eChild #207,0,0,0,1,0,0,0,16,0,0,1,8,0
eChild #208,0,0,0,0,0,0,0,1,0,0,2,13,0
eChild #209,0,0,0,0,0,0,0,11,0,0,7,23,0
eChild #210,0,0,0,0,0,0,0,12,0,0,3,9,0
eChild #211,0,0,0,0,0,0,0,12,0,0,8,4,0
eChild #212,0,0,0,1,0,0,0,2,0,0,2,17,0
eChild #213,0,0,0,0,0,0,0,4,0,0,4,12,0
eChild #214,0,0,0,1,0,0,0,11,0,0,2,28,0
eChild #215,0,0,0,0,0,0,0,22,0,0,15,10,0
eChild #216,0,0,0,1,0,0,0,26,0,0,1,4,0
eChild #217,0,0,0,0,0,0,0,2,0,0,0,10,0
eChild #218,0,0,0,1,0,0,0,13,0,0,13,4,0
eChild #219,0,0,0,0,0,0,0,3,0,0,3,36,0
eChild #220,0,0,0,0,0,0,0,1,0,0,3,0,0
eChild #221,0,0,0,0,0,0,0,4,0,0,0,6,0
eChild #222,0,0,0,0,0,0,0,13,0,0,5,3,0
eChild #223,0,0,0,2,0,0,0,3,0,0,2,22,0
eChild #224,0,0,0,0,0,0,0,10,0,0,0,5,0
eChild #225,0,0,0,0,0,0,0,22,0,0,0,1,0
eChild #226,0,0,0,0,0,0,0,20,0,0,9,42,0
eChild #227,0,0,0,0,0,0,0,0,0,0,2,1,0
eChild #228,0,0,0,0,0,0,0,13,0,0,1,7,0
eChild #229,0,0,0,0,0,0,0,25,0,0,12,21,0
eChild #230,0,0,0,0,0,0,0,14,0,0,40,23,0
eChild #231,0,0,0,0,0,0,0,24,0,0,11,9,0
eChild #232,0,0,0,0,0,0,0,3,0,0,0,8,0
eChild #233,0,0,0,0,0,0,0,3,0,0,3,13,0
eChild #234,0,0,0,0,0,0,0,1,0,0,17,0,0
eChild #235,0,0,0,3,0,0,0,28,0,0,3,4,0
eChild #236,0,0,0,1,0,0,0,7,0,0,1,14,0
eChild #237,0,0,0,0,0,0,0,1,0,0,0,6,0
eChild #238,0,0,0,0,0,0,0,6,0,0,1,5,0
eChild #239,0,0,0,1,0,0,0,7,0,0,3,21,0
eChild #240,0,0,0,0,0,0,0,2,0,0,1,39,0
eChild #241,0,0,0,1,0,0,0,0,0,0,11,1,0
eChild #242,0,0,0,0,0,0,0,7,0,0,5,2,0
eChild #243,0,0,0,0,0,0,0,2,0,0,3,0,0
eChild #244,0,0,0,0,0,0,0,1,0,0,5,0,0
eChild #245,0,0,0,0,0,0,0,17,0,0,12,0,0
eChild #246,0,0,0,0,0,0,0,7,0,0,15,10,0
eChild #247,0,0,0,0,0,0,0,0,0,0,0,16,0
eChild #248,0,0,0,0,0,0,0,9,0,0,0,4,0
eChild #249,0,0,0,1,0,0,0,7,0,0,1,7,0
eChild #250,0,0,0,0,0,0,0,7,0,0,3,0,0
eChild #251,0,0,0,1,0,0,0,8,0,0,18,1,0
eChild #252,0,0,0,0,0,0,0,25,0,0,4,27,0
