 observation,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
eChild #713,0,0,0,0,0,5,0,0,0,0,0,0,0
eChild #714,0,2,0,63,0,63,0,0,0,3,0,0,0
eChild #715,0,3,0,100,0,100,0,0,0,0,0,0,0
eChild #716,0,1,0,127,0,127,0,0,0,1,0,0,0
eChild #717,0,0,0,22,0,22,0,0,0,3,0,0,0
eChild #718,0,1,0,63,0,63,0,0,0,1,0,0,0
eChild #719,0,2,0,0,0,2,0,0,0,0,0,0,0
eChild #720,0,0,0,105,0,105,0,0,0,2,0,0,0
eChild #721,0,4,0,8,0,8,0,0,0,0,0,0,0
eChild #722,0,1,0,0,0,0,0,0,0,2,0,0,0
eChild #723,0,0,0,115,0,115,0,0,0,0,0,0,0
eChild #724,0,1,0,20,0,20,0,0,0,1,0,0,0
eChild #725,0,0,0,0,0,3,0,0,0,8,0,0,0
eChild #726,0,3,0,21,0,21,0,0,0,2,0,0,0
eChild #727,0,0,0,100,0,100,0,0,0,5,0,0,0
eChild #728,0,0,0,63,0,63,0,0,0,5,0,0,0
eChild #729,0,7,0,22,0,22,0,0,0,8,0,0,0
eChild #730,0,0,0,13,0,13,0,0,0,0,0,0,0
eChild #731,0,2,0,8,0,8,0,0,0,1,0,0,0
eChild #732,0,0,0,36,0,36,0,0,0,3,0,0,0
eChild #733,0,2,0,18,0,18,0,0,0,5,0,0,0
eChild #734,0,1,0,33,0,33,0,0,0,0,0,0,0
eChild #735,0,4,0,0,0,2,0,0,0,0,0,0,0
eChild #736,0,2,0,59,0,59,0,0,0,5,0,0,0
eChild #737,0,0,0,16,0,16,0,0,0,0,0,0,0
eChild #738,0,0,0,52,0,52,0,0,0,1,0,0,0
eChild #739,0,4,0,0,0,1,0,0,0,2,0,0,0
