 observation,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
eChild #221,0,1,0,4,5,0,0,0,3,0,1,0,0
eChild #222,0,0,1,0,0,0,3,0,0,0,1,0,1
eChild #223,0,4,1,0,24,0,2,0,0,0,4,0,1
eChild #224,0,2,1,0,31,0,1,0,0,0,2,0,1
eChild #225,0,1,0,10,239,0,0,0,0,0,1,0,0
eChild #226,0,3,0,8,8,0,4,0,2,0,3,0,0
eChild #227,0,1,0,3,92,0,0,0,0,0,1,0,0
eChild #228,0,0,1,2,2,0,1,0,1,0,1,0,1
eChild #229,0,1,0,7,9,0,1,0,1,0,1,0,0
eChild #230,0,0,0,2,2,0,0,0,0,0,0,0,0
eChild #231,0,1,3,0,77,0,4,0,0,0,3,0,3
eChild #232,0,0,0,14,85,0,0,0,2,0,0,0,0
eChild #233,0,0,0,3,340,0,4,0,0,0,0,0,0
eChild #234,0,3,0,8,117,0,2,0,0,0,3,0,0
eChild #235,0,1,0,2,22,0,0,0,0,0,1,0,0
eChild #236,0,0,0,9,44,0,11,0,0,0,0,0,0
eChild #237,0,1,0,16,38,0,6,0,3,0,1,0,0
eChild #238,0,0,0,2,76,0,3,0,0,0,0,0,0
eChild #239,0,3,0,3,63,0,0,0,0,0,4,0,0
eChild #240,0,0,0,10,68,0,0,0,0,0,0,0,0
eChild #241,0,1,0,21,201,0,0,0,1,0,1,0,0
eChild #242,0,0,0,4,56,0,1,0,0,0,0,0,0
eChild #243,0,1,1,4,10,0,3,0,2,0,1,0,1
eChild #244,0,0,2,0,65,0,8,0,2,0,2,0,2
eChild #245,0,2,0,5,13,0,1,0,1,0,2,0,0
eChild #246,0,2,1,0,128,0,1,0,0,0,4,0,1
eChild #247,0,2,0,8,27,0,3,0,0,0,2,0,0
eChild #248,0,0,0,4,65,0,1,0,0,0,0,0,0
eChild #249,0,1,0,6,400,0,9,0,0,0,1,0,0
eChild #250,0,0,0,3,104,0,2,0,0,0,0,0,0
eChild #251,0,3,1,0,148,0,2,0,0,0,3,0,1
eChild #252,0,0,0,2,53,0,0,0,0,0,0,0,0
eChild #253,0,1,1,0,188,0,2,0,2,0,1,0,1
eChild #254,0,0,0,4,280,0,3,0,3,0,0,0,0
eChild #255,0,1,1,0,36,0,1,0,0,0,1,0,1
eChild #256,0,4,0,2,4,0,1,0,1,0,6,0,0
eChild #257,0,3,0,3,301,0,2,0,0,0,5,0,0
eChild #258,0,0,1,0,14,0,4,0,0,0,0,0,1
eChild #259,0,0,0,3,98,0,0,0,0,0,0,0,0
eChild #260,0,0,0,2,67,0,4,0,1,0,0,0,0
eChild #261,0,0,1,0,85,0,1,0,0,0,1,0,1
eChild #262,0,0,0,5,23,0,0,0,0,0,0,0,0
eChild #263,0,0,0,1,27,0,3,0,0,0,0,0,0
eChild #264,0,0,0,2,99,0,1,0,0,0,0,0,0
eChild #265,0,1,2,1,5,0,3,0,1,0,1,0,2
eChild #266,0,1,2,0,17,0,2,0,0,0,2,0,2
eChild #267,0,0,1,0,128,0,1,0,0,0,0,0,1
eChild #268,0,0,0,1,63,0,2,0,1,0,0,0,0
eChild #269,0,1,1,0,77,0,4,0,0,0,1,0,1
eChild #270,0,0,0,2,273,0,5,0,0,0,0,0,0
eChild #271,0,0,0,6,167,0,0,0,0,0,0,0,0
eChild #272,0,1,0,9,104,0,1,0,1,0,1,0,0
eChild #273,0,1,0,4,266,0,1,0,0,0,1,0,0
eChild #274,0,0,2,0,97,0,9,0,1,0,0,0,2
eChild #275,0,1,0,29,42,0,2,0,0,0,1,0,0
eChild #276,0,0,0,3,25,0,2,0,2,0,0,0,0
eChild #277,0,2,0,2,16,0,1,0,0,0,3,0,0
eChild #278,0,0,0,1,1,0,2,0,1,0,0,0,0
eChild #279,0,2,0,6,31,0,12,0,2,0,2,0,0
eChild #280,0,1,1,0,57,0,2,0,0,0,1,0,1
eChild #281,0,0,0,7,17,0,0,0,0,0,0,0,0
eChild #282,0,1,0,2,2,0,5,0,2,0,1,0,0
eChild #283,0,0,0,1,49,0,4,0,0,0,0,0,0
eChild #284,0,2,0,4,339,0,5,0,0,0,2,0,0
eChild #285,0,0,0,8,51,0,2,0,0,0,0,0,0
eChild #286,0,3,1,0,45,0,5,0,0,0,5,0,1
eChild #287,0,0,0,1,6,0,0,0,0,0,0,0,0
eChild #288,0,0,0,1,36,0,5,0,0,0,0,0,0
eChild #289,0,0,1,0,0,0,4,0,0,0,1,0,1
eChild #290,0,4,1,0,208,0,1,0,0,0,4,0,1
eChild #291,0,2,2,0,37,0,6,0,1,0,2,0,2
eChild #292,0,2,1,0,85,0,5,0,0,0,3,0,1
eChild #293,0,5,0,5,42,0,0,0,0,0,7,0,0
eChild #294,0,1,0,6,197,0,1,0,1,0,1,0,0
eChild #295,0,1,0,7,7,0,1,0,0,0,1,0,0
eChild #296,0,2,0,10,95,0,1,0,0,0,2,0,0
eChild #297,0,4,0,1,157,0,5,0,0,0,4,0,0
eChild #298,0,6,0,5,47,0,0,0,0,0,6,0,0
eChild #299,0,0,0,2,308,0,0,0,0,0,0,0,0
eChild #300,0,0,1,0,51,0,1,0,3,0,0,0,1
eChild #301,0,0,0,4,92,0,0,0,1,0,0,0,0
eChild #302,0,1,0,8,49,0,0,0,0,0,1,0,0
eChild #303,0,4,0,3,162,0,1,0,1,0,4,0,0
eChild #304,0,0,0,5,5,0,0,0,0,0,0,0,0
eChild #305,0,1,1,0,197,0,1,0,0,0,1,0,1
eChild #306,0,1,1,0,16,0,1,0,0,0,1,0,1
eChild #307,0,4,3,1,354,0,3,0,1,0,4,0,3
eChild #308,0,2,0,1,127,0,4,0,1,0,2,0,0
eChild #309,0,2,0,3,28,0,0,0,0,0,2,0,0
eChild #310,0,0,0,2,18,0,5,0,0,0,0,0,0
eChild #311,0,0,0,6,7,0,0,0,0,0,0,0,0
eChild #312,0,2,1,0,44,0,1,0,0,0,4,0,1
eChild #313,0,2,0,10,74,0,1,0,0,0,2,0,0
eChild #314,0,1,0,1,1,0,3,0,1,0,2,0,0
eChild #315,0,0,0,1,32,0,2,0,0,0,0,0,0
eChild #316,0,0,0,10,41,0,1,0,1,0,0,0,0
eChild #317,0,2,0,1,37,0,0,0,0,0,2,0,0
eChild #318,0,0,0,2,9,0,4,0,0,0,0,0,0
eChild #319,0,0,0,1,62,0,0,0,0,0,0,0,0
eChild #320,0,0,0,1,120,0,2,0,2,0,0,0,0
eChild #321,0,2,0,2,119,0,0,0,1,0,3,0,0
eChild #322,0,0,0,2,3,0,1,0,0,0,0,0,0
eChild #323,0,0,0,5,14,0,6,0,0,0,0,0,0
eChild #324,0,0,0,1,189,0,0,0,0,0,0,0,0
eChild #325,0,1,0,1,152,0,0,0,0,0,2,0,0
eChild #326,0,2,0,8,70,0,3,0,1,0,2,0,0
eChild #327,0,1,0,4,71,0,0,0,0,0,1,0,0
